ID,TRANSACTION,BRAND,ITEM,QUANTITY,PRICE,DATE
1,T1,HONDA,PETRON OIL,,₱225.00,01/03/2023
2,T1,HONDA,TIRE SYLANT,,₱120.00,01/03/2023
3,T1,HONDA,PITO,,₱60.00,01/03/2023
4,T1,HONDA,TIRE GOMA,,₱140.00,01/03/2023
5,T1,HONDA,TIRE GOMA,,₱150.00,01/03/2023
6,T1,HONDA,HORN,,₱100.00,01/03/2023
7,T1,HONDA,ALLEN WRENCH,,₱16.00,01/03/2023
8,T1,HONDA,JRP SEAT,,₱300.00,01/03/2023
9,T1,HONDA,TIRE GOMA,,₱150.00,01/03/2023
10,T2,RUSI,SET ALLEN,,₱550.00,01/04/2023
11,T2,RUSI,FUSE,,₱20.00,01/04/2023
12,T2,RUSI,SEAT COVER,,₱260.00,01/04/2023
13,T2,RUSI,CLUTCH CABLE,,₱120.00,01/04/2023
14,T2,RUSI,CHAINLOCK,,₱220.00,01/04/2023
15,T2,RUSI,STOP LIGHT SET,,₱240.00,01/04/2023
16,T3,KAWASAKI,TIRE GOMA,,₱130.00,01/04/2023
17,T3,KAWASAKI,SOCKET,,₱70.00,01/05/2023
18,T3,KAWASAKI,SPARKPLUG OVERSIZE,,₱120.00,01/05/2023
19,T3,KAWASAKI,REPAIR KIT,,₱120.00,01/05/2023
20,T3,KAWASAKI,BOLT 3MM,,₱10.00,01/05/2023
21,T4,HONDA,VOLTMETER,,₱150.00,01/05/2023
22,T4,HONDA,KEY CHAIN,,₱60.00,01/05/2023
23,T4,HONDA,KEY CHAIN,,₱60.00,01/05/2023
24,T4,HONDA,CUP SPARKPLUG,,₱50.00,01/05/2023
25,T4,HONDA,SPARKPLUG ,,₱120.00,01/05/2023
26,T4,HONDA,PITO,,₱50.00,01/05/2023
27,T4,HONDA,HORN,,₱350.00,01/05/2023
28,T4,HONDA,SWITCH,,₱80.00,01/05/2023
29,T4,HONDA,BUSHING,,₱150.00,01/05/2023
30,T4,HONDA,BOLT 3MM,,₱27.00,01/05/2023
31,T4,HONDA,TIRE SYLANT,,₱120.00,01/05/2023
32,T4,HONDA,WIRE 2MM,,₱60.00,01/05/2023
33,T4,HONDA,PETRON OIL,,₱225.00,01/05/2023
34,T4,HONDA,TUTE OIL,,₱45.00,01/05/2023
35,T5,RUSI,TIRE GUMA,,₱150.00,01/06/2023
36,T5,RUSI,TANK COVER,,₱190.00,01/06/2023
37,T5,RUSI,TAPALUDO,,₱200.00,01/06/2023
38,T5,RUSI,ASBRSTOS,,₱20.00,01/06/2023
39,T5,RUSI,TIRE,,₱750.00,01/06/2023
40,T5,RUSI,TAIL LIGHT BULB,,₱20.00,01/06/2023
41,T5,RUSI,SEAT COVER,,₱300.00,01/06/2023
42,T5,RUSI,TIRE GUMA,,₱130.00,01/06/2023
43,T5,RUSI,ASBRSTOS,,₱20.00,01/06/2023
44,T6,HONDA,PETRON OIL,,₱225.00,01/06/2023
45,T6,HONDA,CHAINLOCK,,₱220.00,01/06/2023
46,T7,HONDA,NGK CHAIN,,₱130.00,01/07/2023
47,T7,HONDA,PETRON OIL,2,₱450.00,01/07/2023
48,T7,HONDA,RS8,,₱280.00,01/07/2023
49,T7,HONDA,GAS HOSE,,₱45.00,01/07/2023
50,T7,HONDA,HAND GRIP,,₱15.00,01/07/2023
51,T7,HONDA,ALLEN BOLT,,₱16.00,01/07/2023
52,T7,HONDA,ALLEN COLORS,,₱45.00,01/07/2023
53,T7,HONDA,FLAIRING KNOT,,₱20.00,01/07/2023
54,T8,KAWASAKI,SPARKPLUG,,₱120.00,01/08/2023
55,T8,KAWASAKI,SPARKLUG CUP,,₱50.00,01/08/2023
56,T8,KAWASAKI,KEY CHAIN,,₱60.00,01/08/2023
57,T8,KAWASAKI,RS8,,₱285.00,01/08/2023
58,T8,KAWASAKI,FUSE,2,₱20.00,01/08/2023
59,T8,KAWASAKI,ALLEN BOLT,,₱8.00,01/08/2023
60,T8,KAWASAKI,3 WAY SWITCH,,₱100.00,01/08/2023
61,T8,KAWASAKI,KNOCKEL BEARING,,₱200.00,01/08/2023
62,T8,KAWASAKI,REPAIR KIT,,₱100.00,01/08/2023
63,T8,KAWASAKI,MAX SPEED,,₱220.00,01/08/2023
64,T8,KAWASAKI,FRONT OIL,2,₱150.00,01/08/2023
65,T8,KAWASAKI,BREAKLIGHT VALVE,,₱30.00,01/08/2023
66,T9,RUSI,FILTER,,₱150.00,01/09/2023
67,T9,RUSI,GUMA,,₱130.00,01/09/2023
68,T9,RUSI,GUMA,,₱150.00,01/09/2023
69,T9,RUSI,SIDE MIRROR,,₱160.00,01/09/2023
70,T9,RUSI,VALVE CIGNAL LIGHT,,₱10.00,01/09/2023
71,T9,RUSI,TIRE,,₱900.00,01/09/2023
72,T9,RUSI,BREAKLIGHT VALVE,,₱30.00,01/09/2023
73,T9,RUSI,BREAK SHOE,,₱130.00,01/09/2023
74,T10,HONDA,KICK,,₱200.00,01/10/2023
75,T10,HONDA,TROTTLE CABLE,,₱130.00,01/10/2023
76,T10,HONDA,GUMA,,₱150.00,01/10/2023
77,T10,HONDA,KNOT XRM TIPOS,,₱50.00,01/10/2023
78,T10,HONDA,GUMA,2,₱260.00,01/10/2023
79,T11,HONDA,TUTE OIL,,₱45.00,01/11/2023
80,T11,HONDA,GUMA,,₱150.00,01/11/2023
81,T11,HONDA,OIL,,₱380.00,01/11/2023
82,T11,HONDA,FILTER,,₱150.00,01/11/2023
83,T11,HONDA,TIRE,,₱850.00,01/11/2023
84,T11,HONDA,STARTER SWITCH,,₱250.00,01/11/2023
85,T12,HONDA,GUMA,,₱150.00,01/12/2023
86,T12,HONDA,MAX SPEED,,₱200.00,01/12/2023
87,T12,HONDA,SIDE MIRROR,,₱200.00,01/12/2023
88,T12,HONDA,MOTUL OIL,,₱360.00,01/12/2023
89,T13,HONDA,GUMA,,₱200.00,01/13/2023
90,T13,HONDA,TAPALUDO,,₱200.00,01/13/2023
91,T13,HONDA,SEAT COVER,,₱230.00,01/13/2023
92,T13,HONDA,CLAMP,,₱130.00,01/13/2023
93,T13,HONDA,TIRE,,₱480.00,01/13/2023
94,T13,HONDA,KOKBY SEALANT,,₱200.00,01/13/2023
95,T13,HONDA,GUMA,,₱130.00,01/13/2023
96,T13,HONDA,MASTER XRM,,₱330.00,01/13/2023
97,T13,HONDA,PITO,,₱200.00,01/13/2023
98,T13,HONDA,BULB,,₱60.00,01/13/2023
99,T14,RUSI,CHAINLOCK,,₱25.00,01/13/2023
100,T14,RUSI,BUSHING,,₱130.00,01/13/2023
101,T14,RUSI,KEY CHAIN,,₱50.00,01/13/2023
102,T14,RUSI,GUMA,,₱130.00,01/13/2023
103,T14,RUSI,GUMA,,₱130.00,01/13/2023
104,T14,RUSI,KEY CHAIN,,₱60.00,01/13/2023
105,T14,RUSI,FUSE,,₱20.00,01/13/2023
106,T14,RUSI,SEALANT,,₱130.00,01/13/2023
107,T15,HONDA,GUMA,,₱150.00,01/15/2023
108,T15,HONDA,GUMA,,₱150.00,01/15/2023
109,T15,HONDA,SEAT COVER,,₱250.00,01/15/2023
110,T15,HONDA,GUMA,,₱130.00,01/15/2023
111,T15,HONDA,SPARKPLUG,,₱150.00,01/15/2023
112,T15,HONDA,ABRTUS,,₱25.00,01/15/2023
113,T15,HONDA,REGULATOR,,₱320.00,01/15/2023
114,T15,HONDA,SEAT COVER JRP,,₱200.00,01/15/2023
115,T15,HONDA,STOP LIGHT SET,,₱300.00,01/15/2023
116,T15,HONDA,HEAD LIGHT SET,,₱25.00,01/15/2023
117,T15,HONDA,TAIL LIGHT BULB,,₱20.00,01/15/2023
118,T15,HONDA,HANDLE SWITCH,,₱300.00,01/15/2023
119,T15,HONDA,WASHER BATTERY,,₱480.00,01/15/2023
120,T15,HONDA,SIDE MIRROR,,₱150.00,01/15/2023
121,T15,HONDA,LED,,₱250.00,01/15/2023
122,T16,HONDA,MUTOL OIL,,₱390.00,01/16/2023
123,T16,HONDA,GEAR OIL,,₱85.00,01/16/2023
124,T16,HONDA,TUTE OIL,,₱45.00,01/16/2023
125,T16,HONDA,STOP LIGHT SET,,₱120.00,01/16/2023
126,T16,HONDA,OIL SEALANT,,₱160.00,01/16/2023
127,T16,HONDA,FORK OIL,,₱75.00,01/16/2023
128,T16,HONDA,SEAT COVER,,₱300.00,01/16/2023
129,T16,HONDA,CABLE,,₱100.00,01/16/2023
130,T16,HONDA,HAND GRIP,,₱150.00,01/16/2023
131,T16,HONDA,SIDE MIRROR,,₱150.00,01/16/2023
132,T16,HONDA,FLAIRINGCLIP,,₱20.00,01/16/2023
133,T17,HONDA,VALVE SEAL,,₱85.00,01/16/2023
134,T17,HONDA,GUMA,,₱150.00,01/16/2023
135,T17,HONDA,GUMA,,₱150.00,01/16/2023
136,T17,HONDA,GUMA,,₱150.00,01/16/2023
137,T17,HONDA,REGULATOR,,₱300.00,01/16/2023
138,T17,HONDA,MAGNETO BEARING,,₱150.00,01/16/2023
139,T18,HONDA,SEAT COVER,,₱300.00,01/16/2023
140,T18,HONDA,CLUTCH CABLE,,₱130.00,01/16/2023
141,T18,HONDA,GUMA,,₱150.00,01/16/2023
142,T18,HONDA,AIR FILTER,,₱150.00,01/16/2023
143,T18,HONDA,MAX SPEED,,₱200.00,01/16/2023
144,T19,RUSI,3 WAY SWITCH,,₱100.00,01/17/2023
145,T20,RUSI,PIT OIL,,₱200.00,01/18/2023
146,T20,RUSI,BULB SWITCH,,₱35.00,01/18/2023
147,T20,RUSI,SPARKPLUG,,₱130.00,01/18/2023
148,T20,RUSI,DOMINO,,₱200.00,01/18/2023
149,T20,RUSI,SEAT COVER,,₱250.00,01/18/2023
150,T21,KAWASAKI,OIL,,₱50.00,01/19/2023
151,T21,KAWASAKI,TAPE,,₱20.00,01/19/2023
152,T21,KAWASAKI,GAS HOSE,,₱30.00,01/19/2023
153,T21,KAWASAKI,TUTE OIL,,₱45.00,01/19/2023
154,T21,KAWASAKI,VS1,,₱160.00,01/19/2023
155,T21,KAWASAKI,TAPE,,₱20.00,01/19/2023
156,T21,KAWASAKI,RUBBER DUMPER,,₱130.00,01/19/2023
157,T22,HONDA,GUMA,,₱150.00,01/23/2023
158,T22,HONDA,OIL,,₱280.00,01/23/2023
159,T22,HONDA,TUTE OIL,,₱45.00,01/23/2023
160,T22,HONDA,RUBBER DUMPER,,₱130.00,01/23/2023
161,T22,HONDA,TAPE,2,₱130.00,01/23/2023
162,T22,HONDA,RUBBER DUMPER,,₱150.00,01/23/2023
